Date,AAPL,AMZN,GOOG,META,NFLX,TSLA
2022-09-27,150.865005,114.410004,98.089996,134.399994,224.360001,282.940002
2022-09-28,148.956329,118.010002,100.739998,141.610001,245.199997,287.809998
2022-09-29,141.63974,114.800003,98.089996,136.410004,239.710007,268.209991
2022-09-30,137.384964,113.0,96.150002,135.679993,235.440002,265.25
2022-10-03,141.609909,115.879997,99.300003,138.610001,239.039993,242.399994
2022-10-04,145.238388,121.089996,102.410004,140.279999,240.740005,249.440002
2022-10-05,145.536606,120.949997,102.220001,138.979996,236.729996,240.809998
2022-10-06,144.572342,120.300003,102.239998,139.070007,240.020004,238.130005
2022-10-07,139.26384,114.559998,99.57,133.449997,224.75,223.070007
2022-10-10,139.591873,113.669998,98.709999,133.789993,229.979996,222.960007
2022-10-11,138.16037,112.209999,98.050003,128.539993,214.289993,216.5
2022-10-12,137.524155,112.900002,98.300003,127.5,220.869995,217.240005
2022-10-13,142.146744,112.529999,99.709999,130.289993,232.509995,221.720001
2022-10-14,137.563919,106.900002,97.18,126.760002,230.0,204.990005
2022-10-17,141.57016,113.790001,100.779999,134.039993,245.100006,219.350006
2022-10-18,142.902252,116.360001,101.389999,132.800003,240.860001,220.190002
2022-10-19,143.011597,115.07,100.290001,133.229996,272.380005,222.039993
2022-10-20,142.544373,115.25,100.529999,131.529999,268.160004,207.279999
2022-10-21,146.401505,119.32,101.480003,130.009995,289.570007,214.440002
2022-10-24,148.568634,119.82,102.970001,129.720001,282.450012,211.25
2022-10-25,151.441589,120.599998,104.93,137.509995,291.019989,222.419998
2022-10-26,148.469223,115.660004,94.82,129.820007,298.619995,224.639999
2022-10-27,143.94606,110.959999,92.599998,97.940002,296.940002,225.089996
2022-10-28,154.821548,103.410004,96.580002,99.199997,295.720001,228.520004
2022-10-31,152.435684,102.440002,94.660004,93.160004,291.880005,227.539993
2022-11-01,149.761551,96.790001,90.5,95.199997,286.75,227.820007
2022-11-02,144.174698,92.120003,87.07,90.540001,273.0,214.979996
2022-11-03,138.060974,89.300003,83.489998,88.910004,269.059998,215.309998
2022-11-04,137.792114,90.980003,86.699997,90.790001,260.790009,207.470001
2022-11-07,138.329803,90.529999,88.650002,96.720001,258.600006,197.080002
2022-11-08,138.907364,89.980003,88.910004,96.470001,263.459991,191.300003
2022-11-09,134.297028,86.139999,87.400002,101.470001,254.660004,177.589996
2022-11-10,146.246048,96.629997,94.169998,111.870003,274.970001,190.720001
2022-11-11,149.064026,100.790001,96.730003,113.019997,290.130005,195.970001
2022-11-14,147.650055,98.489998,96.029999,114.220001,299.269989,190.949997
2022-11-15,149.402573,98.940002,98.720001,117.080002,310.200012,194.419998
2022-11-16,148.157883,97.120003,98.989998,113.230003,306.019989,186.919998
2022-11-17,150.079712,94.849998,98.5,111.449997,295.279999,183.169998
2022-11-18,150.647263,94.139999,97.800003,112.050003,287.980011,180.190002
2022-11-21,147.38121,92.459999,95.830002,109.860001,285.049988,167.869995
2022-11-22,149.541977,93.199997,97.330002,111.440002,286.690002,169.910004
2022-11-23,150.428223,94.129997,98.82,112.239998,291.5,183.199997
2022-11-25,147.480789,93.410004,97.599998,111.410004,285.540009,182.860001
2022-11-28,143.6073,93.949997,96.25,108.779999,281.170013,182.919998
2022-11-29,140.570267,92.419998,95.440002,109.459999,280.959991,180.830002
2022-11-30,147.401123,96.540001,101.449997,118.099998,305.529999,194.699997
2022-12-01,147.679947,95.5,101.279999,120.440002,316.950012,194.699997
2022-12-02,147.182068,94.129997,100.830002,123.489998,320.410004,194.860001
2022-12-05,146.007065,91.010002,99.870003,122.43,312.589996,182.449997
2022-12-06,142.302887,88.25,97.309998,114.120003,305.559998,179.820007
2022-12-07,140.341248,88.459999,95.150002,113.93,308.420013,174.039993
2022-12-08,142.043976,90.349998,93.949997,115.330002,310.26001,173.440002
2022-12-09,141.556076,89.089996,93.07,115.900002,320.01001,179.050003
2022-12-12,143.87616,90.550003,93.559998,114.709999,315.179993,167.820007
2022-12-13,144.852005,92.489998,95.849998,120.150002,320.339996,160.949997
2022-12-14,142.601608,91.580002,95.309998,121.589996,317.829987,156.800003
2022-12-15,135.92009,88.449997,91.199997,116.150002,290.410004,157.669998
2022-12-16,133.938553,87.860001,90.860001,119.43,290.709991,150.229996
2022-12-19,131.807648,84.919998,89.150002,114.480003,288.299988,149.869995
2022-12-20,131.737946,85.190002,89.629997,117.089996,288.190002,137.800003
2022-12-21,134.874557,86.769997,90.25,119.760002,297.959991,137.570007
2022-12-22,131.668243,83.790001,88.260002,117.120003,297.75,125.349998
2022-12-23,131.29982,85.25,89.809998,118.040001,294.959991,123.150002
2022-12-27,129.477585,83.040001,87.93,116.879997,284.170013,109.099998
2022-12-28,125.504539,81.82,86.459999,115.620003,276.880005,112.709999
2022-12-29,129.059372,84.18,88.949997,120.260002,291.119995,121.82
2022-12-30,129.378006,84.0,88.730003,120.339996,294.880005,123.18
2023-01-03,124.538666,85.82,89.699997,124.739998,294.950012,108.099998
2023-01-04,125.823189,85.139999,88.709999,127.370003,309.410004,113.639999
2023-01-05,124.488876,83.120003,86.769997,126.940002,309.700012,110.339996
2023-01-06,129.069321,86.080002,88.160004,130.020004,315.549988,113.059998
2023-01-09,129.597061,87.360001,88.800003,129.470001,315.170013,119.769997
2023-01-10,130.174606,89.870003,89.239998,132.990005,327.540009,118.849998
2023-01-11,132.922882,95.089996,92.260002,132.889999,327.26001,123.220001
2023-01-12,132.843231,95.269997,91.910004,136.710007,330.130005,123.559998
2023-01-13,134.1875,98.120003,92.800003,136.979996,332.820007,122.400002
2023-01-17,135.362488,96.050003,92.160004,135.360001,326.220001,131.490005
2023-01-18,134.63559,95.459999,91.779999,133.020004,326.329987,128.779999
2023-01-19,134.695328,93.68,93.910004,136.149994,315.779999,127.169998
2023-01-20,137.284271,97.25,99.279999,139.369995,342.5,133.419998
2023-01-23,140.510513,97.519997,101.209999,143.270004,357.420013,143.75
2023-01-24,141.924484,96.32,99.209999,143.139999,363.829987,143.889999
2023-01-25,141.257339,97.18,96.730003,141.5,367.959991,144.429993
2023-01-26,143.348419,99.220001,99.160004,147.300003,364.869995,160.270004
2023-01-27,145.310043,102.239998,100.709999,151.740005,360.769989,177.899994
2023-01-30,142.392502,100.550003,97.949997,147.059998,353.109985,166.660004
2023-01-31,143.677002,103.129997,99.870003,148.970001,353.859985,173.220001
2023-02-01,144.812164,105.150002,101.43,153.119995,361.98999,181.410004
2023-02-02,150.179291,112.910004,108.800003,188.770004,366.890015,188.270004
2023-02-03,153.843628,103.389999,105.220001,186.529999,365.899994,189.979996
2023-02-06,151.085388,102.18,103.470001,186.059998,361.480011,194.759995
2023-02-07,153.992981,102.110001,108.040001,191.619995,362.950012,196.809998
2023-02-08,151.274582,100.050003,100.0,183.429993,366.829987,201.289993
2023-02-09,150.22905,98.239998,95.459999,177.919998,362.5,207.320007
2023-02-10,150.598038,97.610001,94.860001,174.149994,347.359985,196.889999
2023-02-13,153.430313,99.540001,95.0,179.429993,358.570007,194.639999
2023-02-14,152.782074,99.699997,94.949997,179.479996,359.959991,209.25
2023-02-15,154.906265,101.160004,97.099998,177.160004,361.420013,214.240005
2023-02-16,153.29068,98.150002,95.779999,172.440002,350.709991,202.039993
2023-02-17,152.13385,97.199997,94.589996,172.880005,347.959991,208.309998
2023-02-21,148.074951,94.580002,92.050003,172.080002,337.5,197.369995
2023-02-22,148.503769,95.790001,91.800003,171.119995,334.880005,200.860001
2023-02-23,148.992432,95.82,91.07,172.039993,323.649994,202.070007
2023-02-24,146.309784,93.5,89.349998,170.389999,317.149994,196.880005
2023-02-27,147.516479,93.760002,90.099998,169.539993,323.029999,207.630005
2023-02-28,147.007874,94.230003,90.300003,174.940002,322.130005,205.710007
2023-03-01,144.913605,92.169998,90.510002,173.419998,313.480011,202.770004
2023-03-02,145.511978,92.129997,92.309998,174.529999,311.880005,190.899994
2023-03-03,150.617996,94.900002,94.019997,185.25,315.179993,197.789993
2023-03-06,153.41037,93.75,95.580002,184.899994,312.029999,193.809998
2023-03-07,151.186447,93.550003,94.169998,184.509995,308.470001,187.710007
2023-03-08,152.452972,93.919998,94.650002,184.970001,311.790009,182.0
2023-03-09,150.179184,92.25,92.660004,181.690002,297.779999,172.919998
2023-03-10,148.094894,90.730003,91.010002,179.509995,292.76001,173.440002
2023-03-13,150.059525,92.43,91.660004,180.899994,293.51001,174.479996
2023-03-14,152.173737,94.879997,94.25,194.020004,294.940002,183.259995
2023-03-15,152.572647,96.199997,96.550003,197.75,303.790009,180.449997
2023-03-16,155.42485,100.040001,101.07,204.929993,310.059998,184.130005
2023-03-17,154.577164,98.949997,102.459999,195.610001,303.5,180.130005
2023-03-20,156.970612,97.709999,101.93,197.809998,305.130005,183.25
2023-03-21,158.84549,100.610001,105.839996,202.160004,305.790009,197.580002
2023-03-22,157.399445,98.699997,104.220001,199.809998,293.899994,191.149994
2023-03-23,158.496445,98.709999,106.260002,204.279999,320.369995,192.220001
2023-03-24,159.812836,98.129997,106.059998,206.009995,328.390015,190.410004
2023-03-27,157.848206,98.040001,103.059998,202.839996,327.660004,191.809998
2023-03-28,157.219925,97.239998,101.360001,200.679993,323.519989,189.190002
2023-03-29,160.331421,100.25,101.900002,205.350006,332.029999,193.880005
2023-03-30,161.917084,102.0,101.32,207.839996,338.429993,195.279999
2023-03-31,164.45015,103.290001,104.0,211.940002,345.480011,207.460007
2023-04-03,165.71669,102.410004,104.910004,213.070007,348.279999,194.770004
2023-04-04,165.178177,103.949997,105.120003,214.720001,346.75,192.580002
2023-04-05,163.313263,101.099998,104.949997,211.479996,342.350006,185.520004
2023-04-06,164.210831,102.059998,108.900002,216.100006,339.329987,185.059998
2023-04-10,161.587982,102.169998,106.949997,214.75,338.98999,184.509995
2023-04-11,160.361343,99.919998,106.120003,213.850006,338.209991,186.789993
2023-04-12,159.663269,97.830002,105.220001,214.0,331.029999,180.539993
2023-04-13,165.108353,102.400002,108.190002,220.350006,346.190002,185.899994
2023-04-14,164.759323,102.510002,109.459999,221.490005,338.630005,185.0
2023-04-17,164.779251,102.739998,106.419998,218.860001,332.720001,187.039993
2023-04-18,166.015884,102.300003,105.120003,217.889999,333.700012,184.309998
2023-04-19,167.172714,104.300003,105.019997,215.699997,323.119995,180.589996
2023-04-20,166.195389,103.809998,105.900002,213.070007,325.350006,162.990005
2023-04-21,164.569839,106.959999,105.910004,212.889999,327.980011,165.080002
2023-04-24,164.878983,106.209999,106.779999,212.789993,329.019989,162.550003
2023-04-25,163.323242,102.57,104.610001,207.550003,322.549988,160.669998
2023-04-26,163.313263,104.980003,104.449997,209.399994,321.149994,153.75
2023-04-27,167.950592,109.82,108.370003,238.559998,325.850006,160.190002
2023-04-28,169.217117,105.449997,108.220001,240.320007,329.929993,164.309998
2023-05-01,169.127365,102.050003,107.709999,243.179993,324.119995,161.830002
2023-05-02,168.080231,103.629997,105.980003,239.240005,317.549988,160.309998
2023-05-03,166.993195,103.650002,106.120003,237.029999,319.299988,160.610001
2023-05-04,165.337723,104.0,105.209999,233.520004,320.779999,161.199997
2023-05-05,173.096512,105.660004,106.214996,232.779999,322.76001,170.059998
2023-05-08,173.026688,105.830002,108.239998,233.270004,331.209991,171.789993
2023-05-09,171.301422,106.620003,107.940002,233.369995,332.140015,169.149994
2023-05-10,173.086533,110.190002,112.279999,233.080002,335.420013,168.539993
2023-05-11,173.276016,112.18,116.900002,235.789993,344.76001,172.080002
2023-05-12,172.33728,110.260002,117.919998,233.809998,339.890015,167.979996
2023-05-15,171.837967,111.199997,116.959999,238.860001,335.890015,166.350006
2023-05-16,171.837967,113.400002,120.089996,238.820007,333.75,166.520004
2023-05-17,172.457123,115.5,121.480003,242.490005,339.959991,173.860001
2023-05-18,174.813934,118.150002,123.519997,246.850006,371.290009,176.889999
2023-05-19,174.923798,116.25,123.25,245.639999,365.359985,180.139999
2023-05-22,173.965073,115.010002,125.870003,248.320007,363.01001,188.869995
2023-05-23,171.328644,114.989998,123.290001,246.740005,355.98999,185.770004
2023-05-24,171.608261,116.75,121.639999,249.210007,364.850006,182.899994
2023-05-25,172.756714,115.0,124.349998,252.690002,359.0,184.470001
2023-05-26,175.19342,120.110001,125.43,262.040009,378.880005,193.169998
2023-05-30,177.060898,121.660004,124.639999,262.519989,392.980011,201.160004
2023-05-31,177.010971,120.580002,123.370003,264.720001,395.230011,203.929993
2023-06-01,179.847137,122.769997,124.370003,272.609985,403.130005,207.520004
2023-06-02,180.705978,124.25,125.230003,272.609985,400.470001,213.970001
2023-06-05,179.33783,125.300003,126.629997,271.390015,403.540009,217.610001
2023-06-06,178.968338,126.610001,127.910004,271.119995,399.290009,221.309998
2023-06-07,177.5802,121.230003,122.940002,263.600006,399.769989,224.570007
2023-06-08,180.326492,124.25,122.669998,264.579987,409.369995,234.860001
2023-06-09,180.715973,123.43,122.870003,264.950012,420.019989,244.399994
2023-06-12,183.542145,126.57,124.349998,271.049988,423.970001,249.830002
2023-06-13,183.06279,126.660004,124.43,271.320007,435.730011,258.709991
2023-06-14,183.701935,126.419998,124.379997,273.350006,440.859985,256.790009
2023-06-15,185.759155,127.110001,125.790001,281.829987,445.269989,255.899994
2023-06-16,184.670624,125.489998,124.059998,281.0,431.959991,260.540009
2023-06-20,184.760498,125.779999,123.849998,284.329987,434.700012,274.450012
2023-06-21,183.711929,124.830002,121.260002,281.640015,424.450012,259.459991
2023-06-22,186.747818,130.149994,123.870003,284.880005,422.480011,264.609985
2023-06-23,186.428238,129.330002,123.019997,288.730011,424.019989,256.600006
2023-06-26,185.020157,127.330002,119.089996,278.470001,415.940002,241.050003
2023-06-27,187.806381,129.179993,119.010002,287.049988,417.079987,250.210007
2023-06-28,188.994781,129.039993,121.080002,285.290009,429.839996,256.23999
2023-06-29,189.33432,127.900002,120.010002,281.529999,428.23999,257.5
2023-06-30,193.70842,130.360001,120.970001,286.980011,440.48999,261.769989
2023-07-03,192.20047,130.220001,120.559998,286.019989,441.440002,279.820007
2023-07-05,191.071976,130.380005,122.629997,294.369995,445.899994,282.480011
2023-07-06,191.551331,128.360001,120.93,291.98999,438.839996,276.540009
2023-07-07,190.422852,129.779999,120.139999,290.529999,438.100006,274.429993
2023-07-10,188.355652,127.129997,116.870003,294.100006,441.709991,269.609985
2023-07-11,187.82637,128.779999,117.709999,298.290009,440.209991,269.790009
2023-07-12,189.514084,130.800003,119.620003,309.339996,444.049988,271.98999
2023-07-13,190.283035,134.300003,124.830002,313.410004,450.380005,277.899994
2023-07-14,190.432846,134.679993,125.699997,308.869995,441.910004,281.380005
2023-07-17,193.728394,133.559998,125.059998,310.619995,450.049988,290.380005
2023-07-18,193.468735,132.830002,124.080002,312.049988,474.799988,293.339996
2023-07-19,194.836899,135.360001,122.779999,316.01001,477.589996,291.26001
2023-07-20,192.869553,129.960007,119.529999,302.519989,437.420013,262.899994
2023-07-21,191.681168,130.0,120.309998,294.26001,427.5,260.019989
2023-07-24,192.490067,128.800003,121.879997,291.609985,428.369995,269.059998
2023-07-25,193.358887,129.130005,122.790001,294.470001,427.700012,265.279999
2023-07-26,194.237701,128.149994,129.660004,298.570007,422.670013,264.350006
2023-07-27,192.959427,128.25,129.869995,311.709991,413.170013,255.710007
2023-07-28,195.565918,132.210007,133.009995,325.480011,425.779999,266.440002
2023-07-31,196.185074,133.679993,133.110001,318.600006,438.970001,267.429993
2023-08-01,195.346207,131.690002,131.889999,322.709991,438.619995,261.070007
2023-08-02,192.320297,128.210007,128.639999,314.309998,429.700012,254.110001
2023-08-03,190.912201,128.910004,128.770004,313.190002,431.0,259.320007
2023-08-04,181.744583,139.570007,128.539993,310.730011,431.600006,253.860001
2023-08-07,178.60881,142.220001,131.940002,316.559998,440.76001,251.449997
2023-08-08,179.557526,139.940002,131.839996,312.640015,438.299988,249.699997
2023-08-09,177.949707,137.850006,130.149994,305.209991,428.899994,242.190002
2023-08-10,177.729996,138.559998,130.210007,305.73999,429.980011,245.339996
2023-08-11,177.789993,138.410004,130.169998,301.640015,421.660004,242.649994
2023-08-14,179.460007,140.570007,131.830002,306.190002,427.779999,239.759995
2023-08-15,177.449997,137.669998,130.270004,301.950012,423.700012,232.960007
2023-08-16,176.570007,135.070007,129.110001,294.290009,415.450012,225.600006
2023-08-17,174.0,133.979996,130.460007,285.089996,403.0,219.220001
2023-08-18,174.490005,133.220001,128.110001,283.25,404.529999,215.490005
2023-08-21,175.839996,134.679993,128.929993,289.899994,408.290009,231.279999
2023-08-22,177.229996,134.25,129.690002,287.600006,413.170013,233.190002
2023-08-23,181.119995,135.520004,133.210007,294.23999,427.549988,236.860001
2023-08-24,176.380005,131.839996,130.419998,286.75,406.929993,230.039993
2023-08-25,178.610001,133.259995,130.690002,285.5,416.029999,238.589996
2023-08-28,180.190002,133.139999,131.789993,290.26001,418.059998,238.820007
2023-08-29,184.119995,134.910004,135.490005,297.98999,429.98999,257.179993
2023-08-30,187.649994,135.070007,136.929993,295.100006,434.670013,256.899994
2023-08-31,187.869995,138.009995,137.350006,295.890015,433.679993,258.079987
2023-09-01,189.460007,138.119995,136.800003,296.380005,439.880005,245.009995
2023-09-05,189.699997,137.270004,136.710007,300.149994,448.679993,256.48999
2023-09-06,182.910004,135.360001,135.369995,299.170013,445.76001,251.919998
2023-09-07,177.559998,137.850006,136.199997,298.670013,443.140015,251.490005
2023-09-08,178.179993,138.229996,137.199997,297.890015,442.799988,248.5
2023-09-11,179.360001,143.100006,137.740005,307.559998,445.359985,273.579987
2023-09-12,176.300003,141.229996,136.070007,301.660004,434.690002,267.480011
2023-09-13,174.210007,144.850006,137.5,305.059998,412.23999,271.299988
2023-09-14,175.740005,144.720001,138.990005,311.720001,400.48999,276.040009
2023-09-15,175.009995,140.389999,138.300003,300.309998,396.940002,274.390015
2023-09-18,177.970001,139.979996,138.960007,302.549988,394.399994,265.279999
2023-09-19,179.070007,137.630005,138.830002,305.070007,396.200012,266.5
2023-09-20,175.490005,135.289993,134.589996,299.670013,386.299988,262.589996
2023-09-21,173.929993,129.330002,131.360001,295.730011,384.149994,255.699997
2023-09-22,174.789993,129.119995,131.25,299.079987,379.809998,244.880005
2023-09-25,176.080002,131.270004,132.169998,300.829987,384.799988,246.990005
2023-09-26,171.960007,125.980003,129.449997,298.959991,379.25,244.119995
